periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2016-08-01,108340.588,138653.6220000001,44800.83700000001,2257.34,71051.621,102550.143,70643.72300000003,194094.8079999999,79307.42400000003,154734.983,177587.071,20266.958,40114.20299999999,1146.577,1205549.898
2016-09-01,107436.407,131004.1690000001,47806.21799999999,2262.85,66746.97699999998,102848.357,65645.936,196094.7280000001,78473.18600000005,159927.6620000001,190596.741,19949.587,38420.003,1058.036,1208270.857
2016-10-01,101581.253,129635.4680000001,49400.74700000001,1830.03,64552.61999999997,110050.942,66916.431,203250.4549999998,80598.09300000002,163158.8119999999,211215.564,20389.397,39053.38800000002,1065.82,1242699.02
2016-11-01,103160.447,133950.1,50845.97700000001,2274.51,67732.32300000003,105054.161,65279.01100000001,208996.9769999999,81993.23299999998,164276.451,210741.9950000001,20592.05,41269.88800000001,1071.434,1257238.557
2016-12-01,88400.50299999997,136107.5649999999,56819.694,2504.24,54241.14299999997,97399.36399999999,64503.76900000001,207526.153,78970.83200000001,166984.998,185246.973,18451.794,39728.90299999999,1264.246,1198150.177
2017-01-01,92263.084,139168.658,57908.791,2981.77,53861.45799999998,99183.31500000012,69253.05100000004,217626.513,78436.41399999998,151416.8340000001,151822.4740000001,17271.105,32691.704,1201.02,1165086.191
2017-02-01,90281.27599999998,135739.294,51232.78599999999,2558.15,63805.65600000002,101899.8009999999,59802.339,198472.8149999999,71613.24100000002,150687.32,166703.3389999999,19076.283,34216.528,1156.661,1147245.489
2017-03-01,108251.2889999999,147380.362,54605.45199999999,2727.84,71848.162,106753.537,67399.29000000001,220846.2810000001,82771.58800000002,167102.5150000002,234741.3050000001,21469.422,41455.79000000002,1237.197,1328590.03
2017-04-01,107211.0059999999,137485.161,45046.46899999998,2232.6,65484.44600000002,102569.727,64975.15900000001,210377.752,78663.41600000008,164550.125,220542.287,20070.27,36754.193,1034.672,1256997.283
2017-05-01,113013.4200000001,131584.436,42619.82399999999,2317.56,68812.77099999999,106799.8,67067.64900000002,210653.267,80860.216,166991.09,226154.1629999999,21718.993,39628.833,1020.799,1279242.821
2017-06-01,107201.426,133669.4540000001,38943.44300000001,2192.26,68059.93200000003,106045.9939999999,65623.01800000003,204251.4899999999,78317.54199999999,154593.0380000001,218159.81,21536.924,39727.20399999998,986.1759999999999,1239307.711
2017-07-01,107788.267,134691.353,43255.46300000001,2389.19,69658.46000000004,112048.224,60331.81999999999,200061.6310000001,78900.88300000002,166513.7480000001,231958.083,22153.54099999999,38150.55,936.049,1268837.262
2017-08-01,103676.153,139193.514,45648.71,2482,70163.26899999996,111555.4209999999,66544.982,212499.7820000002,82564.28700000003,171827.9000000001,236869.1900000001,22915.196,39986.02,1056.654,1306983.078
2017-09-01,93550.878,133281.18,46115.755,2370.48,69472.50600000004,110007.238,61922.14400000001,208945.545,82241.57199999999,169917.5349999999,256643.2189999999,21345.236,38682.87199999999,961.6589999999999,1295457.819
2017-10-01,103072.468,134583.651,49265.21099999999,2330.03,68992.16600000001,110379.6530000001,62212.30300000002,213633.1190000001,82137.53900000005,180294.996,249521.549,21559.924,39250.36399999999,948.4010000000002,1318181.374000001
2017-11-01,91619.22799999996,137056.4829999999,53945.477,2334.17,70479.72400000002,107693.235,51449.438,207710.6849999999,81523.10599999997,178298.47,270755.1220000001,21896.501,39661.38299999999,1028.617,1315451.639
2017-12-01,77772.47899999999,134811.086,56875.29900000003,2368.81,62460.59699999998,101317.031,67155.71700000002,216934.0640000001,76606.46899999998,175664.8730000001,230385.043,20556.686,35969.069,1142.585,1260019.808
2018-01-01,88442.48499999999,138987.603,58878.73199999999,2732.03,55935.39899999999,104174.979,63541.64599999999,215142.3260000001,73873.57600000006,170084.144,199047.3769999999,18997.525,29525.774,1120.567,1220484.163
2018-02-01,88121.99500000001,136121.9290000001,50737.084,2415.79,57854.96399999998,103261.1949999999,56535.49200000002,189242.5250000001,72688.46000000006,159757.5759999999,246320.495,20012.909,37920.12,1227.476,1222218.01
2018-03-01,98809.942,144352.9730000001,54198.66900000001,2517.76,68433.628,111099.57,63376.857,212662.9770000002,78571.41599999992,175949.649,283873.917,21391.283,41342.77400000001,1109.972,1357691.387
2018-04-01,100648.362,145062.9080000001,48390.19099999998,2337.9,65484.48099999999,106110.182,61071.75000000003,206850.2510000001,77576.38899999997,178145.1119999999,282420.2830000001,21738.136,39816.643,1237.99,1336890.578
2018-05-01,107470.847,140843.7480000001,44170.36999999998,2240.3,62875.86399999997,107334.864,57285.385,210064.9609999999,77603.54500000001,174178.422,286818.6070000001,20512.62899999999,38795.594,1245.167,1331440.303
2018-06-01,97024.89600000008,129468.036,36469.33299999998,1887.07,60490.41,107266.49,60283.01500000001,187113.671,69747.62500000004,162008.5499999999,267780.6990000001,18578.819,36077.50399999999,1199.835,1235395.953
2018-07-01,91996.48499999999,134583.1229999999,40918.41999999997,1990.89,60732.83699999997,104339.8350000001,62980.665,182342.5310000001,69447.85599999999,154445.134,273585.577,19260.133,38014.58300000002,1223.968,1235862.037
2018-08-01,89523.93699999996,138164.833,42865.73399999998,2007.93,60185.36299999994,104640.585,68136.243,188549.241,73668.97899999998,167031.137,283065.7019999998,20415.712,39711.089,1277.523,1279244.008
2018-09-01,87224.81200000009,131887.1550000001,41606.24300000001,1892.61,56150.79100000003,102843.982,70351.72200000001,192966.731,70706.43800000004,168476.591,264207.5249999999,17608.229,34855.071,1172.069,1241949.969
2018-10-01,91033.36300000001,134880.888,47902.59599999999,2099.33,54042.42699999995,104471.6850000001,63793.81600000001,202397.493,70650.53600000001,166978.3859999999,279036.172,18158.24499999999,36666.25999999999,1086.478,1273197.675
2018-11-01,92251.47900000002,136038.56,47629.15200000002,2199.65,50818.82700000004,100920.6510000001,60563.454,197679.59,69578.95599999999,162090.7659999999,281040.749,18672.311,35813.18000000001,1125.192,1256422.517
2018-12-01,81609.071,132668.649,47451.03000000001,1902.3,39761.862,92420.64500000003,65287.905,207476.393,62859.52599999998,164200.065,177066.9970000001,17141.91599999999,28411.44800000001,1097.457,1119355.264
2019-01-01,85680.09399999997,139135.029,49997.97100000001,2507.41,35793.40799999998,94137.41900000002,66267.91100000002,204428.637,64122.615,152715.3960000001,193980.089,13635.414,24555.33099999999,1183.382,1128140.106
2019-02-01,85390.719,136890.32,45476.192,2161.61,51148.45000000002,96149.519,58472.56700000001,189456.9300000002,64962.33099999998,149708.3569999999,182255.819,17289.261,33680.418,1307.475,1114349.968
2019-03-01,92751.65599999999,139273.0740000001,45637.07599999999,1998.11,56407.08100000001,99979.81699999995,64453.736,208036.475,64133.41700000001,167340.456,251233.063,18214.78,30464.087,1019.159,1240941.987000001
2019-04-01,118819.844,139169.0379999999,45626.49499999998,1811.1,57444.24200000001,94842.95600000006,51152.12499999999,198709.3630000001,64211.45199999999,163324.06,266747.9999999999,18678.929,30695.269,1057.984,1252290.857
2019-05-01,117314.435,140431.9530000001,38363.923,1851.4,58604.24699999999,98940.568,63676.43199999999,201070.4540000001,66511.51900000001,164659.112,260830.9820000001,20290.674,31291.82299999999,955.0939999999999,1264792.616
2019-06-01,114151.498,131602.4550000001,34597.106,1545.08,56821.684,97162.79600000002,59653.06000000003,176581.015,61071.55299999999,144107.961,244301.7080000001,19519.746,27966.61700000001,977.9150000000001,1170060.194
2019-07-01,112758.919,135875.0059999999,39414.575,1733.6,61000.15500000001,99531.13700000006,60247.613,185838.4260000001,65095.24100000001,149020.475,259305.781,20257.29,30352.503,1021.293,1221452.014
2019-08-01,100989.097,137434.6600000001,42659.78200000001,1720.43,60901.18399999999,102756.17,68950.764,189671.5590000001,65290.91699999994,168601.4950000002,284581.9510000001,19432.853,32190.20299999999,1060.243,1276241.308
2019-09-01,86007.429,128276.078,47535.94700000003,1583.61,58870.99000000001,98948.76400000002,65254.09100000002,179094.9659999999,63433.20400000001,169897.0269999999,252172.3320000001,19208.235,30340.795,1148.548,1201772.016
2019-10-01,87280.26000000004,133216.695,49882.858,1746.43,59976.41800000003,106562.272,65670.73300000001,203410.861,66922.24299999997,168086.1819999999,265412.3779999999,19574.52299999999,32362.021,1159.724,1261263.598
2019-11-01,81510.93699999998,135973.365,51106.603,1724.53,60609.27399999999,103932.685,62122.094,198307.7769999999,67705.33899999996,146252.445,245301.0680000001,19880.404,31621.942,1234.422,1207282.885
